City ID,City,Lat,Lng,Max Temp,Current Description,Rain (inches),Snow (inches),Humidity,Cloudiness,Wind Speed,Country
482,egvekinot,66.3167,-179.1667,43.86,light rain,0.6,0,98,100,5.08,RU
483,ryotsu,38.0833,138.4333,73.42,broken clouds,0.0,0,67,84,7.56,JP
484,grootfontein,-19.5667,18.1167,63.14,clear sky,0.0,0,25,0,4.97,NA
485,merauke,-8.4667,140.3333,76.55,broken clouds,0.0,0,85,72,13.47,ID
486,oranjemund,-28.55,16.4333,58.57,overcast clouds,0.0,0,88,97,11.68,NA
487,kavieng,-2.5744,150.7967,80.08,broken clouds,0.0,0,80,77,6.8,PG
488,banjarmasin,-3.3244,114.591,75.34,light rain,0.13,0,93,83,1.5,ID
489,souillac,-20.5167,57.5167,70.18,scattered clouds,0.0,0,73,40,12.66,MU
490,hanna,51.6334,-111.9018,75.85,overcast clouds,0.0,0,39,100,5.01,CA
491,sabya,17.1495,42.6254,91.33,overcast clouds,0.0,0,57,100,0.51,SA
492,port hardy,50.6996,-127.4199,60.98,mist,0.0,0,88,75,4.61,CA
493,davidson,36.1501,-86.7833,92.12,overcast clouds,0.0,0,46,95,7.0,US
494,niksar,40.5917,36.9517,73.0,scattered clouds,0.0,0,83,29,2.19,TR
495,talnakh,69.4865,88.3972,48.27,scattered clouds,0.0,0,87,47,6.15,RU
496,matara,5.9485,80.5353,77.31,overcast clouds,0.0,0,88,85,11.88,LK
497,puerto cabezas,14.0351,-83.3888,85.6,overcast clouds,0.0,0,66,100,6.98,NI
498,bull savanna,17.8868,-77.5902,84.85,broken clouds,0.0,0,66,59,15.08,JM
499,kysyl-syr,63.8986,122.7617,45.84,overcast clouds,0.0,0,87,100,6.04,RU
500,erzin,36.9559,36.2,73.87,clear sky,0.0,0,84,4,2.35,TR
501,lerici,44.0759,9.9112,77.86,few clouds,0.0,0,69,11,5.99,IT
502,grand gaube,-20.0064,57.6608,70.2,broken clouds,0.0,0,70,84,5.01,MU
503,siavonga,-16.5382,28.7088,70.18,broken clouds,0.0,0,54,51,4.76,ZM
504,nouakchott,18.0858,-15.9785,84.13,broken clouds,0.0,0,83,76,14.79,MR
505,macapa,0.0389,-51.0664,84.78,few clouds,0.0,0,66,13,12.53,BR
506,coari,-4.085,-63.1414,93.81,scattered clouds,0.0,0,31,48,0.96,BR
507,jaen,38.0,-3.5,85.03,scattered clouds,0.0,0,28,34,8.68,ES
